stage,samples,mean_seconds,median_seconds,p95_seconds,total_seconds
agent1_seconds,20,36.07857,27.5656,75.48715500000002,721.5714
agent2_seconds,20,16.881300000000003,17.3572,21.153064999999998,337.62600000000003
claim_retry_seconds,20,4.563339999999999,5.13885,7.69212,91.26679999999999
comparator_seconds,20,0.025425000000000003,0.004,0.10577500000000008,0.5085000000000001
evidence_verifier_seconds,20,0.3810300000000001,0.08755,1.9632100000000001,7.620600000000001
arbiter_primary_seconds,20,11.69134,11.8874,14.01652,233.8268
citation_retry_seconds,20,0.0,0.0,0.0,0.0
feedback_review_seconds,20,0.0,0.0,0.0,0.0
format_retry_seconds,20,0.0,0.0,0.0,0.0
binary_resolution_seconds,20,0.0,0.0,0.0,0.0
debate_seconds,20,43.1352,46.968199999999996,61.39157000000001,862.704
judge_seconds,20,0.0,0.0,0.0,0.0
mediator_seconds,20,53.916805,50.59375,71.64237,1078.3361
runtime_seconds,20,162.10967000000002,158.41965,207.154845,3242.1934000000006
